task,embedding,kernel,R,R2,kendalltau,log_loss,SE
peak,X_peak_data_1_2.pkl,Matern5/2,0.148888069199,0.0159590538628,0.148856011509,277.827124962,432.497771551
peak,X_P450_data_1_2.pkl,Matern5/2,-0.550365610455,-0.0327568710577,-0.377533362523,278.810647408,453.909003523
peak,X_aneh_data_5_4.pkl,Matern5/2,-0.556188141397,-0.046033469074,-0.420268635795,279.304994766,459.744227228
peak,X_P450_all_4_1.pkl,Matern5/2,-0.530179965516,-0.0362079333849,-0.37735375298,279.110039705,455.425786714
peak,X_random_5_7.pkl,Matern5/2,0.578353166167,0.294885054811,0.402342697774,267.040336594,309.90645631
peak,X_peak_data_5_6.pkl,Matern5/2,-0.14010639331,-0.0436200637205,-0.208825660673,279.43237138,458.683506695
peak,X_aneh_data_3_2.pkl,Matern5/2,0.500330594896,0.249502616342,0.348146296981,267.841864443,329.852581096
peak,X_random_3_1.pkl,Matern5/2,0.831227523867,0.678114780423,0.646121383289,242.480539208,141.472405908
peak,X_P450_all_2_7.pkl,Matern5/2,0.505359856054,0.237284837599,0.258880020016,268.283263451,335.22244106
peak,X_P450_data_5_6.pkl,Matern5/2,-0.583397121403,-0.0473170316358,-0.45609863713,279.277284579,460.308368334
peak,X_random_1_3.pkl,Matern5/2,-0.435180588574,-0.0969874086108,-0.320364024769,280.74450826,482.139093405
peak,X_random_1_2.pkl,Matern5/2,-0.111778895926,-0.0703393324975,-0.151451618256,279.844051436,470.426945064
peak,X_aneh_data_1_1.pkl,Matern5/2,0.33172508847,0.109284513867,0.231913351264,274.190108352,391.480115081
peak,X_P450_data_5_7.pkl,Matern5/2,-0.58343159719,-0.047321664588,-0.45609863713,279.277372026,460.310404572
peak,X_P450_all_2_6.pkl,Matern5/2,0.418296123571,0.174697919342,0.338430586367,271.520713253,362.730140593
peak,X_aneh_data_3_3.pkl,Matern5/2,0.366442361976,0.133210607997,0.26565693802,273.443777845,380.964310395
peak,X_peak_data_5_7.pkl,Matern5/2,-0.550712219445,-0.0327618226252,-0.374650645867,278.993736376,453.911179796
peak,X_random_5_6.pkl,Matern5/2,0.561996656796,0.284395838054,0.396949364024,265.782361656,314.516592597
peak,X_aneh_data_5_5.pkl,Matern5/2,-0.55616831245,-0.0460312328536,-0.420268635795,279.304872934,459.743244383
peak,X_P450_data_1_3.pkl,Matern5/2,-0.284075701438,-0.0767129763069,-0.357222478172,279.686484866,473.228237789
peak,X_peak_data_3_1.pkl,Matern5/2,-0.479494596369,-0.0772532720026,-0.368904028522,280.464807531,473.465704213
peak,X_P450_data_3_1.pkl,Matern5/2,0.760358453518,0.575435652819,0.395960038609,250.740174093,186.601111221
peak,X_peak_data_1_3.pkl,Matern5/2,-0.0045425512408,-0.061295916382,0.17258668001,279.909305986,466.452255461
peak,X_peak_data_1_1.pkl,Matern5/2,-0.571670906796,-0.0398315802745,-0.405578698024,279.040957886,457.018422885
peak,X_P450_data_3_3.pkl,Matern5/2,0.618167053135,0.378791948329,0.270745354266,262.572204965,273.02837252
peak,X_peak_data_3_3.pkl,Matern5/2,-0.550494303151,-0.0327576342837,-0.389398696773,278.812136094,453.90933897
peak,X_P450_data_1_1.pkl,Matern5/2,-0.495520787406,-0.0814546020291,-0.388088662836,280.065536033,475.312239036
peak,X_aneh_data_5_7.pkl,Matern5/2,-0.55614540331,-0.0460317041331,-0.420268635795,279.304908852,459.743451516
peak,X_random_5_4.pkl,Matern5/2,0.480712087434,0.218840515707,0.366746695022,271.343190288,343.328941249
peak,X_P450_all_4_2.pkl,Matern5/2,-0.550429777385,-0.0327553923743,-0.377293428821,278.912558113,453.908353624
peak,X_peak_data_5_5.pkl,Matern5/2,-0.193359794727,-0.0992989186155,-0.00809642551118,282.475931178,483.155029713
peak,X_aneh_data_3_1.pkl,Matern5/2,0.465998488383,0.217130194878,0.288772509899,269.531431498,344.08064772
peak,X_P450_all_2_4.pkl,Matern5/2,0.108382410336,-0.00390423467201,-0.146103205272,279.14052212,441.227924561
peak,X_random_3_2.pkl,Matern5/2,0.792691388392,0.619120052615,0.561985376784,247.278810136,167.401294752
peak,X_P450_data_5_5.pkl,Matern5/2,-0.583458880634,-0.0473227408485,-0.45609863713,279.277345125,460.310877601
peak,X_aneh_data_1_3.pkl,Matern5/2,-0.5561549784,-0.059327822056,-0.412050698525,279.602522382,465.587254453
peak,X_random_1_1.pkl,Matern5/2,0.0793852527335,-0.0228352094434,0.0356810138921,277.709420589,449.548314514
peak,X_aneh_data_1_2.pkl,Matern5/2,-0.550611706386,-0.0327741436094,-0.380769362773,278.812032104,453.916595016
peak,X_P450_data_5_4.pkl,Matern5/2,-0.583430091042,-0.04731696911,-0.45609863713,279.277204963,460.308340853
peak,X_random_3_3.pkl,Matern5/2,0.834314230245,0.67325214934,0.636413382538,245.013685192,143.609590459
peak,X_P450_all_2_5.pkl,Matern5/2,0.189406594864,0.00919023853696,0.0773088634329,276.496454211,435.472746888
peak,X_peak_data_5_4.pkl,Matern5/2,-0.14235140002,-0.0252156321987,-0.0884506735053,278.787835636,450.594538801
peak,X_P450_all_4_3.pkl,Matern5/2,-0.550448048526,-0.0327565925503,-0.382926696273,278.811034991,453.908881116
peak,X_random_5_5.pkl,Matern5/2,0.478279875007,0.218069468319,0.33330802577,271.179789237,343.667825803
peak,X_aneh_data_5_6.pkl,Matern5/2,-0.556139218273,-0.0460315493015,-0.420268635795,279.305062445,459.743383465
peak,X_peak_data_3_2.pkl,Matern5/2,-0.211862532482,-0.0390783892851,-0.144541344509,279.337535775,456.687386432
peak,X_P450_data_3_2.pkl,Matern5/2,0.81805559661,0.649835778374,0.561985376784,246.741248333,153.901365715
peak,X_P450_data_3_6.pkl,Matern5/2,0.745689296982,0.545472186549,0.484321463759,251.923697141,199.77041321
peak,X_peak_data_1_4.pkl,Matern5/2,-0.0285706773296,-0.00780705119913,-0.160877686704,277.964335792,442.943259128
peak,X_P450_data_1_4.pkl,Matern5/2,-0.504674522261,-0.183513884775,-0.376454695773,282.755228523,520.168515116
peak,X_peak_data_3_6.pkl,Matern5/2,-0.440550807071,-0.0597910987613,-0.344094693271,279.735073787,465.790870109
peak,X_random_5_1.pkl,Matern5/2,0.714711165938,0.456314551838,0.487557371029,258.486653516,238.956260589
peak,X_P450_all_4_7.pkl,Matern5/2,-0.550447073442,-0.0327561512112,-0.393713363774,278.811023647,453.908687142
peak,X_aneh_data_5_2.pkl,Matern5/2,-0.556111137491,-0.0460282221592,-0.421349017892,279.304887582,459.741921146
peak,X_P450_all_2_1.pkl,Matern5/2,0.556616592221,0.285451246607,0.388320030023,265.006663189,314.052727908
peak,X_random_3_7.pkl,Matern5/2,0.836997224249,0.6789780695,0.605132046786,242.918605735,141.092980028
peak,X_aneh_data_3_4.pkl,Matern5/2,0.569420195621,0.323104740068,0.312813357519,266.21410349,297.503566943
peak,X_random_1_5.pkl,Matern5/2,-0.550820114671,-0.0328018198592,-0.385084029773,278.812572954,453.928759059
peak,X_aneh_data_1_6.pkl,Matern5/2,-0.515738536994,-0.052617761405,-0.365437589742,278.970188133,462.6381025
peak,X_aneh_data_1_7.pkl,Matern5/2,-0.149310016773,-0.0622292526606,-0.107866675006,279.748774306,466.862467925
peak,X_random_1_4.pkl,Matern5/2,-0.55044005034,-0.032757445151,-0.372488160177,278.80045384,453.909255844
peak,X_P450_data_5_1.pkl,Matern5/2,-0.583357195142,-0.0473118922584,-0.45609863713,279.27712884,460.306109516
peak,X_aneh_data_3_5.pkl,Matern5/2,0.539591158502,0.281548076035,0.344094693271,267.123788058,315.768218082
peak,X_random_3_6.pkl,Matern5/2,0.80712109713,0.639345816424,0.607289380287,243.208338224,158.511829523
peak,X_peak_data_5_1.pkl,Matern5/2,-0.0589127478512,-0.0279982889003,0.020527259846,279.062583056,451.81754972
peak,X_aneh_data_5_3.pkl,Matern5/2,-0.55613973725,-0.0460322160517,-0.420268635795,279.30498628,459.74367651
peak,X_P450_all_4_6.pkl,Matern5/2,-0.550337819974,-0.0327997208163,-0.370816288412,278.92089588,453.927836505
peak,X_peak_data_3_7.pkl,Matern5/2,0.157717565637,0.0242525251992,0.102800037116,277.317151705,428.852691654
peak,X_P450_data_1_5.pkl,Matern5/2,-0.563099129886,-0.0418717603635,-0.399106697524,279.039818377,457.915106448
peak,X_peak_data_1_5.pkl,Matern5/2,-0.0639553796369,-0.0458298904783,-0.033438669252,279.275445475,459.654751999
