task,embedding,kernel,R,R2,kendalltau,log_loss,SE
e-value,X_aneh_data_5_4.pkl,Matern5/2,-0.295009508868,-0.0460878437241,-0.158491899287,670.965473121,1113.51294477
e-value,X_random_5_7.pkl,Matern5/2,0.406843004894,0.164202946062,0.297404744074,656.339766299,889.667960817
e-value,X_aneh_data_3_2.pkl,Matern5/2,-0.398750449985,-0.0176192052312,-0.280341434005,668.991692761,1083.20937355
e-value,X_random_3_1.pkl,Matern5/2,0.815152916355,0.661450323505,0.655296734735,591.463863578,360.370737015
e-value,X_random_1_3.pkl,Matern5/2,-0.201452689697,-0.0239052473104,-0.124146518766,669.432259084,1089.90057952
e-value,X_random_1_2.pkl,Matern5/2,0.294320201995,0.0832084147718,0.198306289447,662.7967361,975.882956612
e-value,X_aneh_data_1_1.pkl,Matern5/2,-0.0216923155798,-0.0174212400473,-0.0101723579253,669.182485101,1082.99864861
e-value,X_aneh_data_3_3.pkl,Matern5/2,-0.446468192039,-0.0214289799309,-0.319718303394,669.245152381,1087.26470549
e-value,X_random_5_6.pkl,Matern5/2,0.485217810757,0.234443279803,0.34509450811,649.557232298,814.900319329
e-value,X_aneh_data_5_5.pkl,Matern5/2,-0.426620898784,-0.0207107310115,-0.29565466099,669.192850663,1086.50016217
e-value,X_aneh_data_5_7.pkl,Matern5/2,0.0666705216783,-0.00468157665264,0.0528306330958,667.868866235,1069.43785619
e-value,X_random_5_4.pkl,Matern5/2,0.486246585613,0.236323903011,0.35822013124,649.169910305,812.898481434
e-value,X_aneh_data_3_1.pkl,Matern5/2,-0.467494812094,-0.0323713329188,-0.332187645366,670.075376997,1098.9123427
e-value,X_random_3_2.pkl,Matern5/2,0.776155483243,0.592361895388,0.60410680453,602.452386435,433.912227344
e-value,X_aneh_data_1_3.pkl,Matern5/2,-0.399502033564,-0.0176423530523,-0.279685152849,668.993106298,1083.23401335
e-value,X_random_1_1.pkl,Matern5/2,-0.399747528822,-0.0176627694294,-0.280778954776,668.994669709,1083.25574565
e-value,X_aneh_data_1_2.pkl,Matern5/2,-0.150937637437,-0.0253827076796,-0.0950513874954,669.557787552,1091.4732689
e-value,X_random_3_3.pkl,Matern5/2,0.79489943767,0.62741512366,0.628607967705,596.734641367,396.599659694
e-value,X_random_5_5.pkl,Matern5/2,0.559956986721,0.308211254483,0.400222125254,642.757186543,736.377664459
e-value,X_aneh_data_5_6.pkl,Matern5/2,-0.288317775174,-0.0331458962228,-0.211650672961,669.935677677,1099.73683012
e-value,X_random_5_1.pkl,Matern5/2,0.505394364096,0.254089163042,0.370470712827,648.78404952,793.988169905
e-value,X_aneh_data_5_2.pkl,Matern5/2,-0.398736519965,-0.0176177270636,-0.279466392463,668.993043116,1083.2078001
e-value,X_random_3_7.pkl,Matern5/2,0.830402113339,0.680868771502,0.670391201334,586.445866194,339.700682066
e-value,X_aneh_data_3_4.pkl,Matern5/2,-0.393030798984,-0.0257534567407,-0.280341434005,669.590456531,1091.86791442
e-value,X_random_1_5.pkl,Matern5/2,-0.314841203631,-0.0370461397793,-0.189774634413,670.336364033,1103.88846204
e-value,X_aneh_data_1_6.pkl,Matern5/2,0.13323771122,0.0153496236179,0.100739157518,667.162697128,1048.1155543
e-value,X_aneh_data_1_7.pkl,Matern5/2,-0.398899835288,-0.0176295045725,-0.279685152849,668.991686459,1083.22033673
e-value,X_random_1_4.pkl,Matern5/2,-0.398804482257,-0.0176165273422,-0.283185319017,668.990093912,1083.20652305
e-value,X_aneh_data_3_5.pkl,Matern5/2,-0.398889827054,-0.0209562447282,-0.281216475547,669.208889679,1086.76150036
e-value,X_random_3_6.pkl,Matern5/2,0.811271792212,0.651409878297,0.641733590835,596.535959495,371.058334407
e-value,X_aneh_data_5_3.pkl,Matern5/2,-0.32111324962,-0.0360482962181,-0.226088858404,670.402726137,1102.82630294
e-value,X_random_5_2.pkl,Matern5/2,0.380220373765,0.144206508805,0.271591018586,657.652108713,910.953259054
e-value,X_aneh_data_5_1.pkl,Matern5/2,-0.145402849862,-0.0328042986026,-0.0803944416675,670.057179016,1099.37321498
e-value,X_random_3_4.pkl,Matern5/2,0.823834623813,0.674790976049,0.652671610109,590.417262332,346.170218973
e-value,X_aneh_data_3_7.pkl,Matern5/2,0.0554672190215,-0.0128102060291,0.0414550930503,669.238180584,1078.09041256
e-value,X_random_1_6.pkl,Matern5/2,-0.376476272681,-0.0235943667656,-0.298717306386,669.373925023,1089.56966131
e-value,X_aneh_data_1_5.pkl,Matern5/2,0.0127294842059,-0.0152234715891,0.0152038467915,669.056905225,1080.65922402
e-value,X_aneh_data_1_4.pkl,Matern5/2,-0.115507570694,-0.039767721346,-0.0327046776307,670.465906532,1106.78546187
e-value,X_random_1_7.pkl,Matern5/2,0.101409548878,-0.00170529258475,0.092645023255,667.824138768,1066.26973713
e-value,X_aneh_data_3_6.pkl,Matern5/2,-0.329927487015,-0.0371670734823,-0.26218432201,670.241878397,1104.01719047
e-value,X_random_3_5.pkl,Matern5/2,0.784961339294,0.611401298678,0.617888708816,601.924307899,413.64564825
e-value,X_random_5_3.pkl,Matern5/2,0.589951568527,0.340855815648,0.426254611127,638.578203585,701.629013424
e-value,X_P450_data_3_4.pkl,Matern5/2,0.433535684107,0.187233521458,0.292154494822,654.595901495,865.152960493
e-value,X_P450_data_4_5.pkl,Matern5/2,0.527300039672,0.268038079387,0.358876412396,650.547116227,779.140182703
e-value,X_aneh_data_2_1.pkl,Matern5/2,0.0942430601881,-0.00848982232914,0.0567238572179,668.273600082,1073.49156055
